company_name,profile_url,company_website,location,tags,founding_date,founders,employee_range,urls,emails,phones,description_short,description
PT. Kirbat Baru Indonesia,https://e27.co/startups/pt-kirbat-baru-indonesia/,https://adsmall.id/,Indonesia,Advertising,2018-12,,,"https://www.linkedin.com/company/adsmall/,  ",,,Ads Mall is a digital on-demand advertising platform in Indonesia that connect users and advertisers,"Ads Mall is a digital on-demand advertising platform in Indonesia connecting users and advertisers in a single platform.

Ads Mall provides the most complete media selection for advertising, ranging from outdoor and indoor media, static and dynamic media, to conventional and digital media. 

For more detail, please refer to our pitch deck below :
https://drive.google.com/open?id=1LAkGZ99nJRYNVa_4MclMdVqDVwQF786A"
HitchPlanner,https://e27.co/startups/hitchplanner/,https://hitchplanner.com/,Singapore,"Marketplace,Platform",2019-6,,,"http://www.linkedin.com/hitchplanner,  http://www.facebook.com/hitchplanner,",hello@hitchplanner.com,,HitchPlanner is bidirectional wedding services marketplace supported b oour proprietary technology of a suite of wedding planning tools.,"HitchPlanner, Wed-Tech startup, is an Integrated Wedding Services Marketplace and Wedding Planning Web Application. At HitchPlanner, we aim to elevate the way couples manage their weddings, empowering them with tools to plan their wedding more efficiently. HitchPlanner seeks to revolutionise the wedding industry by providing users with a seamless and secure platform to plan and book services for their wedding.

HitchPlanner offers a bidirectional marketplace solution to give couples the confidence to shop for reliable vendors and break down the silos within the wedding industry. This is supported by our proprietary technology of a suite of wedding planning tools that will improve the efficiency of the wedding planning process. We are a one-stop wedding planning platform with over 50+ partnerships and 100+ listings in our marketplace and the only platform that a couple will need to plan their wedding."
Elkees Deals,https://e27.co/startups/elkees-deals/,https://deals.elkeesmedia.com/,India,"Internet of Things,E-commerce",2016-3,,," ElkeesDeals, https://www.facebook.com/ElkeesDeals/,",info@elkeesdeals.com,,"ElkeesDeals, #1 choice for bloggers, webmasters & web designers for finding Hosting Discount Coupon, Domain Name Sale, Themes Promo Codes & Offers.","ElkeesDeals, #1 choice for bloggers, webmasters & web designers for finding Hosting Discount Coupon, Domain Name Sale, Themes Promo Codes & Offers."
Coffee Star Malaysia,https://e27.co/startups/coffeestarmy/,https://coffeestar.my,Malaysia,"Food & Beverage,Internet of Things,Retail,Information & Communications Technology",2019-4,,,"https://www.linkedin.com/company/coffeestarmy,  https://www.facebook.com/coffeestarmalaysia,",,,The world's first Coffee ATM machine,"Coffee Star® Malaysia is a startup that invented the world's first Coffee ATM™ machine, that brew tasteful fresh coffee and other drinks, minus the wait."
SKIBRE,https://e27.co/startups/skibre/,https://skibre.com/,Singapore,"Gaming,Mobile,Entertainment,Sports",2020-3,,,"https://www.linkedin.com/company/31558284, SkibreGames?s=20, https://www.facebook.com/skibregames/,",,,"SKIBRE - HOME OF MOBILE ESPORTS -- where casual gamers can showcase their skills, compete to win prizes, and be recognised as athletes and go pro.","SKIBRE is a social and mobile-based competitive multiplayer mobile esports platform that hosts skill-based casual mobile gaming tournaments for players across genres like arcade, puzzle, sports, action, quiz, AR/VR and more. Skibre helps amateur mobile gamers compete professionally on its platform and get recognized for their talent, earn prizes, and become famous. 

Organised competitive gaming or esport today revolves around hardcore games. Casual gamers have no platform where they can compete and be considered as athletes. Imagine a platform that allows casual gamers to compete based on skills, be recognised as athletes, and go pro!  Today, 2.5bn gamers play video games on mobile compared with 1.7bn on PC and 700m on console. 

Skibre can host millions of real-time casual esports tournaments securely daily for mobile players worldwide and distribute prizes. Skibre partners with local and international game developers by enabling social competition in their games and hosting it on Skibre’s super app."
Popsical,https://e27.co/startups/popsical/,http://popsical.tv/,Singapore,"Media,Entertainment",2017-1,,,"  https://www.facebook.com/Popsical.tv/,",startups@e27.co,,"Popsical is bringing Karaoke to your living room through beautifully crafted hardware, fluidly designed software and thousands of multilingual tracks","Popsical is bringing Karaoke to your living room through beautifully crafted hardware, fluidly designed software and thousands of multilingual tracks. Our product is all about allowing our users to express their talents with friends and family and sharing their performances with the world.

Popsical is the world's smartest and smallest Karaoke system that streams tracks right to any TV or sound system. With over 20,000 songs in our library in more than 5 languages, Popsical is the only system you need for your Karaoke session."
Fabelio,https://e27.co/startups/fabelio/,http://fabelio.com/,Indonesia,"Design,E-commerce,Manufacturing,Information & Communications Technology",2015-1,,,"https://www.linkedin.com/company/6430808, hellofabelio, https://www.facebook.com/fabelio,",krishnan@fabelio.com,,Fabelio is a design-centric e-tailer operating in Indonesia and soon in entire South East Asia,"Fabelio is a design-centric e-tailer operating in Indonesia and soon in entire South East Asia. They partner with the best designers in Indonesia to create original designs and they work closely with the best factories to manufacture good-quality products at attractive prices. At fabelio they focus on furnishing happiness.

Fabelio is online destinations in furniture located in Jakarta, Indonesia . Their products are furniture and home decor accessories of premium quality at the best price ."
SLV Lab,https://e27.co/startups/slvlab/,https://www.slvlab.com,Malaysia,Agency & Consulting,2020-5,,,"https://www.linkedin.com/company/slvlab, slvlab, https://www.facebook.com/slvlab/,",,,Technology and consulting firm for companies being changed by the digital world,We're a technology and consulting firm based in Kuala Lumpur helping companies being changed by the digital world adopt new technologies to help them improve their compliance and overall business operations
Senti AI,https://e27.co/startups/senti/,http://www.senti.ai,Philippines,Artificial Intelligence,2015-12,,,"https://www.linkedin.com/company/sentiph, senti_ph, https://www.facebook.com/SentiPH,",hello@senti.com.ph,,We help the Enterprise speed up their adoption to Artificial Intelligence,"Senti Techlabs Inc. is the pioneering artificial intelligence company in the Philippines.

Our company started by offering a proprietary social listening tool which adapted to any local language and allowed businesses to collect their audience's sentiment. The ground-breaking technology granted us with numerous awards and partnerships with recognized institutions such as PLDT Enterprise, Rhipe, CDM Philippines, and IMMAP in addition to industry giants like Microsoft and Google.

Today, we have grown to offer other AI solutions and services that provide unparalleled value to many industries. We have also become home to internationally recognized architects, developers, and researchers in Natural Language Processing (NLP) and Machine Learning along with half of the country's Google Developer experts."
Buzz AR,https://e27.co/startups/buzz-ar/,https://buzzar.app,Singapore,"Augmented Reality,E-commerce,Artificial Intelligence,Virtual Reality,Gaming,Advertising,Big Data",2018-5,,,"https://www.linkedin.com/company/14600055/admin/, BuzzAR12, https://www.facebook.com/buzzarvr/,",,,"AR for Retail and Commerce company, we democratise AR for all businesses.

Buzz AR builds AR for shopping malls/ brands with proprietary patent-pending tech empowering AR e-commerce","It’s a worldwide challenge for brick and mortar's challenges post Covid 19, no one shops physically. E commerce while flourishes, it only published 1 dimensional 2D ads mostly. Shopping Malls, retailers are struggling for footfall, traffic, user centric data.

Buzz AR is implementing AR Wayfinder, AR billboard in our ""VIRTUAL MALL, VIRTUAL STORE"", a process of introducing fun, unique elements of guiding footfall in one of Singapore’s labyrinthine luxury shopping complexes. Whether it's a simple matter of Mario or a game of Mario Kart guiding you to interesting shopping destinations, Buzz AR is but one element of a growing body of apps that have seen brands adopting.

At Buzz AR, we enable experiential e-commerce, further blurring virtual and physical. 

As they navigate, AR billboard empowers experiential E-COMMERCE within the building. User grabs deals, discount codes, play games to increase engagement, purchase intent, sales."
Feeders Pte Ltd,https://e27.co/startups/our-feeders/,http://www.ourfeeders.com,Singapore,"Artificial Intelligence,Energy,Enterprise Solution,Marketplace,Platform,Cleantech,Software as a Service",2019-10,,,"http://www.linkedin.com/company/ourfeeders,  ",amos@ourfeeders.com,,Detect faults before outage for Electric Utilities Transmission and Distribution Grid with AI.  With a global total addressable market of yearly US$1.009Trillion.,"We save lives and electric grid with Ultrasound Inspection and AI.

We want to empower Electric Utilities with data providing accurate insights into when failures & outage would occur.

This will enable utilities to effectively prioritize and manage their maintenance resources,  reducing wastage, increasing profitability, and customer satisfaction.

With the ease of use tools and Machine Learning algorithm, through our platform, we will recruit, train, and certified community to carry out jobs that are rendered out from Electric Utilities.  This will enable us to create blue-collar jobs in place we established a presence."
Jelajah Outdoor,https://e27.co/startups/jelajah-outdoor/,http://jelajahoutdoor.com,Indonesia,"Agency & Consulting,Education,Human Resources,Social Enterprise,Travel",2013-6,,,"http://id.linkedin.com/in/jelajahoutdoor, jelajahoutdoor, http://www.facebook.com/jelajahoutdoor,",info@jelajahoutdoor.com,,"We provided special interest tour packages fully guided byy experienced experts, guides and facilitator emphasize on cultural and educational travel","Jelajah Outdoor Cultural & Education Travel was born to bring Nusantara Heritage and Natural Sciences alive in experience-rich travel. Inspires by Jelajah Outdoor mission, “Grow together toward Positive Change,” Jelajah Outdoor foster the power that comes through travel – unlocking knowledge and cultural awareness – to better understand the world. 
OUR DIFFERENCES:
Educational Emphasis
Travelers return again and again due to the fun and engaged learning at the core of every Jelajah outdoor tour. You’ll revel in the meaningful enrichment and insider perspectives brought by insightful, experienced, and charismatic Jelajah Outdoor Experts Facilitator, Trip Leader and Guides.

A quality experiences
WIth years of experience in outdoor education, corporate outdoor event, kids and school outdoor event, Jelajah Outdoor always choose our staff wisely. Plus, with years good connection with local resources will give Jelajah Outdoor ahead start in creating a realistic and experience-rich program.

Experts, Guides & Facilitator
Jelajah Outdoor working with local resources, NGO’s, Communities through out Indonesia. On any given trip, you’ll travel with intellectual curiuos, worldly, and adventurous life-long learners, and forge lasting friendship with others who share your passion for deeper learning and exploration.

When you join our community of curious travelers, you will engage with Indonesia natural and wildlife through Jelajah Outdoor lens, enjoying a memorable, immersive, and transformative experience. And, importantly, your participation benefits the work of local people throughout the archipelago, helping them to make a better living by encouraging them to preserve and celebrate what we cherish from our common past, present and future."
ONE Championship,https://e27.co/startups/one-championship/,https://onefc.com/,Malaysia,Sports,2018-1,,," ONEChampionship, https://www.facebook.com/ONEChampionship/,",chatri@onefc.com,,ONE Championship is Asia's largest sports media property with a global broadcast to over 1 billion potential viewers across 118 countries.,"ONE Championship is Asia's largest sports media property with a global broadcast to over 1 billion potential viewers across 118 countries. Headquartered in Singapore, the world’s most exciting martial arts organization is home to some of the greatest martial artists in the world. 

ONE Championship hosts Asia's greatest sports entertainment events in the largest stadiums of the most iconic cities across Asia."
Shuttle Delivery,https://e27.co/startups/shuttle-delivery/,https://www.shuttledelivery.co.kr/en,South Korea,"Consumer,E-commerce,Food & Beverage",2016-3,,,"https://www.linkedin.com/company/13293979/, shuttledelivery?lang=en, https://www.facebook.com/ShuttleDeliveryCo/,",,,"A leading cloud canteen provider in Asia focusing on delivery, pickups, group ordering, and drop catering all powered through deep machine learning curation.","Shuttle is a food solution platform which connects people to restaurants in their area and gives them the option to schedule a pickup or get food delivered. The easy-to-use interface makes it effortless to browse photo menus from local restaurants, see reviews, and connect to favorites. Shuttle remembers past orders, gives smart suggestions, and integrates preferred payment methods. Shuttle gets paid by the 1000+ restaurants with a 20% commission and an administration fee of 25,000 won per month. Shuttle also gets paid a delivery fee from consumers based on the distance of the vendor to their location."
TechUniverses,https://e27.co/startups/techuniverses/,https://www.techuniverses.com,India,"Advertising,Information & Communications Technology",2018-6,,,"https://www.linkedin.com/company/techuniverses/, techuniverses, https://facebook.com/techuniverses,",,,Growth Together,"Techuniverses is a reputed online marketing and website designing company in Chandigarh. We always deliver quality in our services and try to give our 100% in the services. Our specialized areas of work are website designing, web development, app development, online marketing, search engine optimization, youtube marketing, content marketing, and many more."
Gaze.ai,https://e27.co/startups/gaze-ai/,https://gaze.ai/,Bangladesh,Artificial Intelligence,2018-1,,,"https://www.linkedin.com/company/gazeai/about/,  ",,,API for Visual Recognition AI,"Gaze is an artificial intelligence company building an API for visual recognition AI supporting features like spoof-proof face recognition, OCR, object detection and more."
Reebelo,https://e27.co/startups/reebelo/,https://www.reebelo.com/,Singapore,"Manufacturing,Hardware",2019-1,,,"https://www.linkedin.com/company/reebelo/,  ",,,Bringing electronics back to life. Pioneer and market leader for refurbished electronics in South East Asia.,"Bringing electronics back to life. Pioneer and market leader for refurbished electronics in South East Asia.

Reebelo was started by Philip and Fabien with the vision to save electronics from a premature death.Our products go through 40+ checkpoints ensuring the best possible devices just for you.

As a firm, we aim at creating a market which brings utmost transparency where you can buy good quality secondhand goods without any risk. We have a free 7 day return policy along warranty for each device to make the second hand goods the new cool!"
TheAbbie,https://e27.co/startups/theabbie/,https://theabbie.github.io,India,Array,2015-1,,,"https://linkedin.com/in/theabbie, theabbiee, https://www.facebook.com/abhishek.vice.versa,",,,"a pseudo-introvert, a web developer, and a maker","Abhishek Chaudhary A.K.A TheAbbie born in 2002 is a computer engineer from Fr. Conceicao Rodrigues institute of technology, and he made he acting and writing debut in 2019 short film Brazen Epiphany, The film was made as a part of India Film project 50 hour filmmaking challenge. He is currently writing for TVF sketches. He also currently makes YouTube videos. Apart from acting and writing, his main fields of interests include programming and photography and podcasting."
TheSiteTraffic,https://e27.co/startups/thesitetraffic/,https://thesitetraffic.com/,India,"Advertising,E-commerce,Agency & Consulting",2019-2,,,"https://www.linkedin.com/company/thesitetraffic, TheSiteTraffic, https://www.facebook.com/thesitetraffic/,",,,TheSiteTraffic offers every aspect of digital marketing services with an aim to boost your website traffic and enhance your brand web presence.,TheSiteTraffic is one of the elite digital marketing agency in Jaipur. We aim to provide you with the best internet marketing services you have been looking for. We have a team of most innovative and imaginative people who constantly work with utmost priority given to customer satisfaction and providing the highest standards of quality. We have worked with several national and international clients and are fond of our strong portfolio of highly satisfied customers. We believe in building strong and everlasting relationships with our clients by curating effective marketing strategies for every problem your company runs into. Our marketing campaigns are specifically designed according to the client’s demand and needs. 
24 FIX,https://e27.co/startups/24-fix/,http://www.24fix.co,Thailand,"Architecture & Construction,Enterprise Solution,Real Estate,Software as a Service",2018-8,,,"http://linkedin.com/company/24fixco,  https://www.facebook.com/24fixco/,",,,24 FIX is an end-to-end maintenance service platform that combines expertise in construction with a computerized maintenance management system to deliver solutions all type and size of users.,"24 FIX is an investor-backed one-stop maintenance service platform based in Bangkok. We offer maintenance solutions to all type and size of users. Especially for business accounts, our service extends to areas such as material marketplace, inventory management, and predictive and preventive maintenance with the integration of our computerized maintenance management system. 

Unlike other platforms, we are not just a matchmaker between clients and agents but a real end-to-end service provider. Recognizing that property maintenance is an elaborate practice that requires specialized knowledge, we have a dedicated team who control the process from start to finish, ensuring that our services are of the highest standard. Today our ecosystem holds more than 500 active fixer teams and 500 material vendor stores.

Our mission is to elevate the standard of the maintenance service, and our goal is to become the number one full-scale home service platform in Southeast Asia.

For corporate service enquiries and strategic partnerships, please reach out to:
business@24fix.co

For investment opportunities, please reach out to:
investor@24fix.co"
Couponwood,https://e27.co/startups/couponwood/,https://couponwood.com/,India,E-commerce,2020-5,,,"https://www.linkedin.com/company/couponwood/, couponwood, https://www.facebook.com/Couponwood-109381187470231/,",,,Couponwood is a coupon website offering coupons and deals for free of charge across the globe.,"Couponwood is a coupon website offering coupons and deals for free of charge across the globe. This company is based in Bangalore, India and users come from the US, UK, Australia, Germany, UAE, Brazil, Canada, and other countries in the world. Couponwood was created in 2020. the primary version of the Couponwood website came online in 2020.

Coupons from brands of clothing, shoes, electronics, health, home, furniture, Travel, vehicle, Web hosting, Online Course other categories are often found on the Couponwood. Coupon codes, offers, and deals including exclusive codes. Couponwood is a web platform that gives best deals across all online shopping platforms like Amazon, Flipkart, Myntra, Snapdeal, Paytm, Paytm Mall, eBay, Booking.com, FreeCharge, Jabong, MakeMyTrip, Goibibo, Redbus, Hostinger, Hostgator, Resellerclub, Bigrock, Godaddy, Bluehost, and lots of more international brands."
Yesmom,https://e27.co/startups/yesmom/,https://yesmomfertility.com,Thailand,"Healthtech,Medtech,Mobile",2017-1,,,"https://www.linkedin.com/company/13199177,  https://www.facebook.com/yesmomfertility,",peter@yesmomapp.com,,Yesmom makes health and fertility information more accessible to women in Asia with at-home hormonal testing kits,"Yesmom Fertility is making health and fertility information more accessible to women in Asia via an at-home blood test kit.

We deliver personalised health insights for women about their health and fertility through a hormone blood test that they can take at home. We are also developing a wide range of home diagnostic testing kits to further support telemedicine and remote access."
Finnish Education Solution Sdn Bhd,https://e27.co/startups/finnish-education-solution-sdn-bhd/,https://www.feds.fi,Malaysia,"Education,Gaming,Artificial Intelligence,Information & Communications Technology",2018-10,,,"https://www.linkedin.com/in/petrikarjalainen/, flowpetri, https://www.facebook.com/finnishexperience/,",,,Bringing the best of the Finnish education to South East Asia,"We have selection of the best award winning digital learning tools from Finland which emphasise the 21st century skills﻿
We provide hands-on training to all solutions in our portfolio. Not only technical training but also practical classroom advice with real life demonstrations.
We organise education events, where we bring the the best Finnish specialists to interact with local professionals.
We provide Finnish Experience® tailor made education trips to Finland."
ZmyHome,https://e27.co/startups/zmyhome/,http://www.zmyhome.com,Thailand,"Consumer,E-commerce,Real Estate,Information & Communications Technology",2018-1,,," zmyhome, https://www.facebook.com/zmyhome/timeline,",admin@zmyhome.com,,"ZmyHome Thailand is committed to enabling people to buy, sell or rent your home quickly and economically.","ZmyHome Thailand is committed to enabling people to buy, sell or rent your home quickly and economically by the Post provides the required information in its entirety. And buyers can use various tools on ZmyHome to both buyers and sellers see a true picture of the market."
Curlec,https://e27.co/startups/curlec/,https://www.curlec.com/,Malaysia,Finance,2018-1,,,"http://linkedin.com/company/13616753/, curlec_pay, http://facebook.com/curlec/,",startups@e27.sg,,Curlec is a VC-backed FinTech company that makes it easy for businesses of all sizes to collect recurring payments.,"Curlec is a VC-backed FinTech company that makes it easy for businesses of all sizes to collect recurring payments.

We are a less expensive and more effective way for businesses to collect recurring payments of varying amounts. It's smarter.

We believe that payments should be as seamless and intuitive as possible. We strive to do this by building technology on top of bank-to-bank payment systems, making it extremely easy for businesses to collect payments. We facilitate transactions by intermediating between Buyers, Sellers and their Banks, making Direct Debit available to businesses of all sizes.

Curlec is an alumni of SuperCharger (Malaysia 2018 programme), Asia's leading FinTech accelerator."
Smplrspace,https://e27.co/startups/smplrspace/,http://www.smplrspace.com,Singapore,"Software as a Service,Real Estate",2019-6,,,"https://www.linkedin.com/company/smplrspace, smplrspace, https://www.facebook.com/smplrspace/,",,,"Smplrspace provides a web-based studio that lets real estate agents sketch and share links to 3D properties instantly, helping them narrow down on sincere prospects with unrivalled ease.","Smplrspace provides a web-based studio that lets real estate agents sketch and share links to 3D properties instantly, helping them narrow down on sincere prospects with unrivaled ease."
Onzla,https://e27.co/startups/onzla/,http://www.onzla.com,Singapore,"Marketplace,Platform",2018-10,,,"https://www.linkedin.com/in/jamie-tan-2673661b/, Onzla1, https://www.facebook.com/Onzla-382176542322907/,",,,We broke through barriers and brought back Events & Parties to Everyone,"Onzla solves a huge problem in the event planning space and has also evolved to breach the gap even better during these tough times.

These are the challenges happening in the event industry today:
•	Companies who depended on physical events are struggling to connect with their customers, partners, and staff during the Pandemic
•	Individuals are trying to find ways to celebrate special events with their loved ones
•	Wedding plans are being disrupted
•	Event suppliers are badly hit by the slowdown and economic crisis

How did Onzla help solve this? 
We built an online platform and marketplace to allow Virtual Event Planning. Firstly, we gathered a large group of suppliers who could deliver and support events virtually, integrated them into an intelligent event planning algorithm and launched tools in the platform to allow companies and users to seamlessly connect, greet and send gifts to business associates and loved ones remotely 

With more than 3 million physical events planned in Singapore alone in 2019, we are confident we can replicate most of them virtually using Onzla until the pandemic subsides. And also cater to the massive opportunity in the SEA market with a population of 527 million!

At Onzla, our goals are simple: To ensure that no event should be ever hard to plan, regardless if it’s physical or virtual, every user gets the best deal and their guests show up for the party. We are committed to this dream and mission and will have fun making this happen!

If you would like to be part of this massive opportunity and bring back happiness and memories through events for everyone, connect with Jamie (Founder), Dan (CTO), and the outstanding team to find out how we solve this massive problem during these extremely depressing times!   jamie@onzla.com"
Amilent Technologies,https://e27.co/startups/amilent-technologies/,https://www.amilenttechnologies.com/,India,"Software as a Service,Advertising,Agency & Consulting,Design,Augmented Reality,E-commerce,Enterprise Solution",2020-5,,,"https://www.linkedin.com/company/amilent-tech/, amilenttech, https://www.facebook.com/amilenttech/,",,,Best Web Development & Digital Marketing Company,"Amilent Technologies is a leading web, mobile and ERP software development company in India that offers a wide range of services like mobile app development, android app development, iOS app development, cross-platform app development, digital marketing, social media marketing, social media optimization, website design and development, UI and UX design, ERP software development and ERP solutions. We have specialized in best in class solutions and services web development, mobile app development, search engine optimization and ERP software solutions. Whether you are starting from scratch or rebuilding your brand, we fulfill all your brand needs. We have an expert team of developers, designers, software engineers and marketing experts that integrate innovative technology. Worked with some of the top clients and partners. Call us for affordable services."
Dahn Group Pty Ltd,https://e27.co/startups/dahn-group-pty-ltd/,https://www.dahngroup.com.au,Australia,Energy,2017-11,,,"http://www.linkedin.com/company/dahngroup, dahngroup, https://www.facebook.com/dahngroup,",,,Dahn Group has a team for electrical engineering and solar solution service to our customers throughout Australia.,"Dahn Group has been providing exceptional service to our customers throughout Australia. We have a  professional team for electrical & electronics engineering and solar solutions. We are your low-risk investment in engineering and solar solutions. We are the ideal solution to electric challenges of commercial and residential property as we are helping business and residential owners with commercial electrical contractors Melbourne to fulfill clients' needs. We know how to deal with big commercial electric challenges, and that’s the reason to provide large electrical contractors Melbourne satisfying with desired outcomes. We also have a qualified and professional team with backgrounds in electrical engineering and solar solutions."
DIKA,https://e27.co/startups/dika/,http://www.dika-indonesia.com/,Indonesia,"Logistics\/Supply Chain,Marketplace",2020-2,,,"https://www.linkedin.com/company/digitalkargo, digitalkargo, http://facebook.com/pg/digitalkargo,",,,DIKA is a digital freight B2B marketplace for trucking to improve logistics efficiency with digital automation system and big data.,"Launched in April 2020, DIKA wants to transform the Indonesia’s logistic industry by using technology. 

Trucking is one of the largest industries in Indonesia. There are roughly 7 millions units of registered trucks in use in Indonesia. 80% of all kilometres driven are empty backhauls leading to waste. The trucking industry in Indonesia is also not entirely digitally-connected and technology-driven yet, especially in the areas outside of Java island and the capital city. The industry is still being run conventionally (paper-based).

Committed to solve the inefficiency in the Indonesia's trucking industry, DIKA is built as a digital platform to connect shippers and truckers in more efficient and smarter ways, saving total costs for shippers, increasing earnings for truckers - while solving some of the Indonesia’s major problems in the trucking industry that result in waste. To reduce freight spend, increase productivity, decrease labor costs, and increase efficiency, it is designed with a suite of tools and features for shippers and truckers like instant booking with real time availability, multi-stops / multi-cities booking, truck live tracking, access direct rates on live capacity, trip booking management, fleet management, truckload capacity management, and empty-trip management. 

We aim to be the leading integrated digital logistic marketplace in Indonesia."
Lokal,https://e27.co/startups/lokal/,https://www.agencylokal.ph/,Philippines,"Advertising,Agency & Consulting,Consumer,Design,Media,Productivity & CRM,E-commerce",2018-3,,,"https://www.linkedin.com/company/agencylokal/, agencylokal, https://web.facebook.com/agencylokal/,",hello@agencylokal.com,,"LOKAL gets you new clients and increases your revenue through integrated Local Marketing campaigns, E-commerce setup and management, Reputation Management, and Product Management that just works.","LOKAL is a Filipino marketing and product consulting agency focused on effective marketing and e-commerce campaigns that bring real results to clients. We are experienced marketers with years of experience in digital strategy, working with Fortune 500 companies to rising startups, worldwide. 

BUILD
We start by building your marketing strategy, then providing you worry-free secure website. We then build your online presence and prepare your site for promotion.

PROMOTE
We run an agile Marketing Campaign that iterates on a weekly basis, testing what works for your business and constantly calibrating to deliver maximum results.

PROTECT
We protect your business by and enhance your reputation through strategic reviews management, and presence management.

We're confident with what we do, and we're not afraid to bet on it.  We set realistic expectations with our clients from the onset and measure the progress of our campaigns based on the goals agreed upon from the start."
Himalayan Recreation Treks & Expedition,https://e27.co/startups/himalayan-recreation-treks-expedition/,https://www.himalayanrecreation.com/,Nepal,Travel,2010-7,,,"https://www.linkedin.com/in/himalayanrecreation/,  https://www.facebook.com/himalayanrecreationtreks/,",,,We have a professional group of people in the trekking team who are determined and work diligently hard to let you have the highest form of satisfaction in your time in Nepal.,"Himalayan Recreation Treks & Expedition, unlike most licensed trekking agencies, also includes exciting tours and safaris along with mountain climbing. The trinity of the bizarre adventure sports and activities are not limited to only the famous and relatively popular destinations like the Everest, Annapurna, Manaslu and Langtang region. We have established and successfully carried out treks of various grading in the most unique off beaten paths as well including those of Mustang and Dolpo region. We offer plenty of sightseeing options including World UNESCO Heritage sites and other religiously remarkable regions off Lumbini and Pokhara. Our other services include the smart packages of Honeymoon trips, safari ride in the wild, peak climbing in more than five mountains and even helicopter tours.
https://www.himalayanrecreation.com/trekking-in-nepal/"
Bindrr,https://e27.co/startups/bindrr/,https://e27.co/startups/bindrr/,India,"Augmented Reality,Consumer,Entertainment,Mobile",2019-11,,,"https://www.linkedin.com/in/abhinaykg/,  ",,,"We help people meet, connect, share - in the real world, the digital way!","The current way of using social media goes like this: It consist of pictures, videos, news, articles, blog, and so on in a vertical list form where people (called users) scroll up and down to view content and engage with it.

Our idea extensively transforms the way users engage and interact with content in social media by using the environment around us as a model.

""The same technology that was used in Pokemon GO, that brought the AR craze in to the people, will be used in our social network, Bindrr.""

Our social network would allow users to drop media in the real world around them which can be later viewed by other users using their phone's camera and interact with them (like, comment, share, or use the same media to create further new content)."
"Matlack Leasing,LLC",https://e27.co/startups/matlack-leasing-llc-1/,https://www.matlackleasing.com/,United States of America,Transportation,2000-1,,,"http://www.linkedin.com/company/matlack-leasing-llc, matlack_leasing, https://www.facebook.com/Matlackleasing/,",jcooper@matlackleasing.com,,"Matlack Leasing is a leading lessor of tank containers, tank chassis, and tank trailers, serving customers nationwide. We deliver quality products using the latest technology and design.","Matlack Leasing is a leading lessor of tank containers, tank chassis, and tank trailers, serving customers nationwide. We deliver quality products using the latest technology and design.

We offer a variety of tank trailers, tank containers, tank chassis, and other specialty equipment for the transportation and storage of many materials. Our large fleet accommodates materials such as gas, asphalt, sulfur, aluminum, food-grade goods, ammonia and more. Matlack Leasing delivers a high level of customer service whether you’re leasing standard or custom designed equipment. Our equipment always meets industry regulations, and our staff travel to manufacturers around the world to learn the newest innovations in industry technology.

Tank Trailers: Our tank trailers are available for short or long-term lease. Choose among insulated or non-insulated, carbon or steel, rear or center uploaders, and other variations.

Tank Chassis: Lightweight tank chassis that can handle heavy duty weight. Available for transportation or long-term storage of tank trailers.

Tank Containers: Food grade tank containers, T-11 Tank Containers, LPG Tanks, and more. 

Specialty Equipment: Custom designed to transport any material using the latest technology and closely following industry regulations"
FutureLabs Venture,https://e27.co/startups/futurelabs-venture/,http://www.futurelabs.vc,Singapore,Agency & Consulting,2018-6,,,"https://www.linkedin.com/company/futurelabs-ventures/?viewAsMember=true,  ",,,We guide corporations through their innovation journey!,"Founded in 2018, FutureLabs Ventures (“FLV”) is a corporate venture builder which delivers 10x impact for corporates, consumers, and societies by harnessing the power of technological and business model innovation. We build and scale digital ventures that reshape entire value spaces, by convening the best entrepreneurial talent, corporate assets & capital.  

Established by the former Managing Partner of McKinsey New Ventures and accomplished entrepreneurs, FLV is a global corporate venture builder & venture capital firm. The team has co-created and grown over 30 ventures into global leaders for our partners including some of the largest real estate, telecom, logistics and financial services players across South East Asia."
The Whale Story,https://e27.co/startups/the-whale-story/,https://www.thewhalestory.com,Singapore,"E-commerce,Education,Marketplace",2019-2,,,"http://www.linkedin.com/company/the-whale-story, thewhalestory, https://www.instagram.com/thewhalestory/,",,,The Whale Story links sustainable businesses with conscious consumers via a sustainable e-commerce program. They are bent on making wasting less the common language to consuming greener.,"The Whale Story seeks to address anthropogenic climate change by tackling waste issues on three fronts. With non-profits, they collaborate to consistently push waste less campaigns for youths. With youths, they encourage waste less living. With businesses, they put up a case for them to go greener and feature their businesses along with seasonal discounts for youths. Wasting less and consuming responsibly is their mantra to solving one of the world’s biggest problem."
Frea Technology Pte Ltd,https://e27.co/startups/frea-technology-pte-ltd/,http://www.frea.io,Singapore,"E-commerce,Food & Beverage,Marketplace,Mobile,Platform",2019-8,,,"https://www.linkedin.com/company/30933301,  https://www.facebook.com/frea.io,",,,Frea is marketplace for home-cooked food. We connect skilful home cooks with people wanting to experience home-cooked food nearby.,"There are many skilful cooks here in SouthEast Asia. At the same time, there is a rising interest in unique dining experience across the world. Frea aims to pair the two sides together, by creating a marketplace to connect skilful cooks with people wanting to experience unique dining atmosphere.

Our mission is to create more inclusive opportunities in the food industry, where we empower people with great cooking skills to share their creations and to become a reliable source of income.

Our vision is to build connection, trust, and a sense of belonging in the community."
